BEGIN	CurveValue
Zeit	km^-1
0.5995	-227.547511
2.998501	7.934096
5.3915	9.280352
7.7975	9.728673
10.1785	10.054358
12.574501	10.242267
14.9705	10.415741
17.3695	10.722592
19.7635	11.061202
22.159501	11.208218
24.555501	11.22214
26.952501	11.739813
29.3525	12.853605
31.7445	13.896079
34.140501	15.260774
36.5375	16.47278
38.933501	17.897175
41.3295	19.632241
43.725501	21.108428
46.121501	22.591056
48.518501	24.010836
50.9145	25.405352
53.3105	26.74378
55.706501	27.974707
58.103501	29.293894
60.499501	30.736995
62.8985	31.825614
65.295501	32.237024
67.699501	32.512569
70.098501	32.290109
72.482501	32.033289
74.8915	31.605698
77.272501	31.001636
79.6685	30.461946
82.064501	29.906014
84.479501	29.377108
86.858501	28.875064
89.2535	28.143918
91.6495	27.463481
94.045501	26.713062
96.4415	25.858276
98.838501	24.973495
101.2345	24.224692
103.630501	23.585826
106.0265	23.01597
108.4225	22.572714
110.818501	22.251262
113.2145	21.850883
115.611501	21.39262
118.0075	20.830326
120.4185	20.375529
122.8005	19.973139
125.1985	19.663418
127.598501	19.3221
130.002501	19.219484
132.4185	19.295707
134.8005	19.354294
137.176501	19.284477
139.5725	19.148302
141.9685	19.04689
144.3695	18.771451
146.761501	18.548409
149.157501	18.398991
151.5535	18.472119
153.949501	18.420351
156.354501	18.294816
158.7415	18.29554
161.154501	18.392909
163.534501	18.44544
165.930501	18.242931
168.4315	17.906727
170.722501	17.620854
173.1185	17.457449
175.515501	17.348351
177.9115	17.166836
180.307501	17.158278
182.703501	17.10075
185.100501	17.211078
187.499501	17.145842
189.8985	17.206416
192.3005	17.302829
194.6975	17.248921
197.0995	17.229523
199.4775	17.240521
201.884501	17.266966
204.268501	17.155163
206.6845	17.10075
209.061501	17.122486
211.4575	17.137163
213.8885	17.189494
216.249501	17.252143
218.647501	17.326397
221.042501	17.226548
223.4385	17.128747
225.834501	16.716848
228.2305	16.269111
230.626501	15.92347
233.022501	15.880242
235.419501	16.160857
237.815501	16.426893
240.222501	16.722961
242.607501	16.893004
245.0035	17.035574
247.400501	17.097359
249.8005	17.087769
252.1945	16.919574
254.5995	16.839943
256.9915	16.78766
259.387501	16.945796
261.7775	17.618227
264.173501	18.238674
266.5695	18.657214
268.9675	18.772656
271.361501	18.61029
273.7575	18.36031
276.154501	18.070316
278.5505	17.882495
280.946501	17.693643
283.3425	17.588648
285.738501	17.847291
288.146501	18.220329
290.531501	18.408904
292.927501	18.572514
295.3325	18.623736
297.719501	18.534243
300.1165	18.474456
302.512501	18.380525
304.9085	18.267567
307.304501	18.267567
309.7015	18.267567
312.098501	18.193851
314.498501	18.193851
316.8955	18.193851
319.301501	18.193851
321.6985	18.193851
324.084501	18.193851
326.4845	18.193851
328.870501	18.193851
331.2665	18.193851
333.6625	18.193851
336.058501	18.193851
338.455501	18.193851
340.851501	18.193851
343.2475	18.193851
345.644501	18.120135
348.0395	18.120135
350.4415	18.046419
352.8325	18.274215
355.228501	18.274215
357.624501	18.274215
360.0205	18.274215
362.420501	18.274215
364.8125	18.274215
367.2085	18.274215
369.6055	18.817369
372.001501	18.817369
374.400501	18.817369
376.8005	18.817369
379.1985	18.817369
381.598501	18.817369
383.9875	19.360522
386.386501	19.897143
388.7745	19.897143
391.170501	20.41059
393.5665	20.819037
395.9815	20.819037
398.358501	20.819037
400.755501	21.150555
403.1515	21.533773
405.551501	21.905872
407.943501	22.149366
410.3395	22.149366
412.735501	22.352537
