BEGIN	CurveValue	DetReflec
Zeit	km^-1	
0.5995	-227.547511	0.142738
2.998501	7.934096	0.142695
5.3915	9.280352	0.142712
7.7975	9.728673	0.142715
10.1785	10.054358	0.142745
12.574501	10.242267	0.142694
14.9705	10.415741	0.142713
17.3695	10.722592	0.142726
19.7635	11.061202	0.14271
22.159501	11.208218	0.142658
24.555501	11.22214	0.141894
26.952501	11.739813	0.141841
29.3525	12.853605	0.14275
31.7445	13.896079	0.142729
34.140501	15.260774	0.142161
36.5375	16.47278	0.142777
38.933501	17.897175	0.142294
41.3295	19.632241	0.142732
43.725501	21.108428	0.142774
46.121501	22.591056	0.141862
48.518501	24.010836	0.142834
50.9145	25.405352	0.142743
53.3105	26.74378	0.141886
55.706501	27.974707	0.14279
58.103501	29.293894	0.143158
60.499501	30.736995	0.142815
62.8985	31.825614	0.142422
65.295501	32.237024	0.142081
67.699501	32.512569	0.142366
70.098501	32.290109	0.14256
72.482501	32.033289	0.142687
74.8915	31.605698	0.142688
77.272501	31.001636	0.142621
79.6685	30.461946	0.142514
82.064501	29.906014	0.142417
84.479501	29.377108	0.142721
86.858501	28.875064	0.143306
89.2535	28.143918	0.143472
91.6495	27.463481	0.142764
94.045501	26.713062	0.142702
96.4415	25.858276	0.143541
98.838501	24.973495	0.142822
101.2345	24.224692	0.142979
103.630501	23.585826	0.14334
106.0265	23.01597	0.142827
108.4225	22.572714	0.143457
110.818501	22.251262	0.143009
113.2145	21.850883	0.143122
115.611501	21.39262	0.143455
118.0075	20.830326	0.142796
120.4185	20.375529	0.143222
122.8005	19.973139	0.143599
125.1985	19.663418	0.143228
127.598501	19.3221	0.142854
130.002501	19.219484	0.142891
132.4185	19.295707	0.143148
134.8005	19.354294	0.143304
137.176501	19.284477	0.14335
139.5725	19.148302	0.143324
141.9685	19.04689	0.143218
144.3695	18.771451	0.143015
146.761501	18.548409	0.142967
149.157501	18.398991	0.143279
151.5535	18.472119	0.143653
153.949501	18.420351	0.143303
156.354501	18.294816	0.143117
158.7415	18.29554	0.143682
161.154501	18.392909	0.143155
163.534501	18.44544	0.14359
165.930501	18.242931	0.143201
168.4315	17.906727	0.143693
170.722501	17.620854	0.143248
173.1185	17.457449	0.143331
175.515501	17.348351	0.14371
177.9115	17.166836	0.143508
180.307501	17.158278	0.143425
182.703501	17.10075	0.14336
185.100501	17.211078	0.143397
187.499501	17.145842	0.143423
189.8985	17.206416	0.1434
192.3005	17.302829	0.143573
194.6975	17.248921	0.143637
197.0995	17.229523	0.143782
199.4775	17.240521	0.143655
201.884501	17.266966	0.143697
204.268501	17.155163	0.143819
206.6845	17.10075	0.143651
209.061501	17.122486	0.143851
211.4575	17.137163	0.143821
213.8885	17.189494	0.14386
216.249501	17.252143	0.143923
218.647501	17.326397	0.143872
221.042501	17.226548	0.143947
223.4385	17.128747	0.143951
225.834501	16.716848	0.143985
228.2305	16.269111	0.143997
230.626501	15.92347	0.143981
233.022501	15.880242	0.144023
235.419501	16.160857	0.144094
237.815501	16.426893	0.143998
240.222501	16.722961	0.144119
242.607501	16.893004	0.144036
245.0035	17.035574	0.144152
247.400501	17.097359	0.144177
249.8005	17.087769	0.14414
252.1945	16.919574	0.144151
254.5995	16.839943	0.144133
256.9915	16.78766	0.144242
259.387501	16.945796	0.144313
261.7775	17.618227	0.14412
264.173501	18.238674	0.144267
266.5695	18.657214	0.144208
268.9675	18.772656	0.144338
271.361501	18.61029	0.144219
273.7575	18.36031	0.144142
276.154501	18.070316	0.14413
278.5505	17.882495	0.144173
280.946501	17.693643	0.144324
283.3425	17.588648	0.144367
285.738501	17.847291	0.144264
288.146501	18.220329	0.144395
290.531501	18.408904	0.144362
292.927501	18.572514	0.144274
295.3325	18.623736	0.144458
297.719501	18.534243	0.14439
300.1165	18.474456	0.144381
302.512501	18.380525	0.144395
304.9085	18.267567	0.142485
307.304501	18.267567	0.115618
309.7015	18.267567	0.116943
312.098501	18.193851	0.10752
314.498501	18.193851	0.099761
316.8955	18.193851	0.100553
319.301501	18.193851	0.097837
321.6985	18.193851	0.106929
324.084501	18.193851	0.107115
326.4845	18.193851	0.107814
328.870501	18.193851	0.108687
331.2665	18.193851	0.108967
333.6625	18.193851	0.110277
336.058501	18.193851	0.110447
338.455501	18.193851	0.111033
340.851501	18.193851	0.111664
343.2475	18.193851	0.112676
345.644501	18.120135	0.112206
348.0395	18.120135	0.112664
350.4415	18.046419	0.113744
352.8325	18.274215	0.114619
355.228501	18.274215	0.114135
357.624501	18.274215	0.111067
360.0205	18.274215	0.11057
362.420501	18.274215	0.1098
364.8125	18.274215	0.109833
367.2085	18.274215	0.109687
369.6055	18.817369	0.109565
372.001501	18.817369	0.109688
374.400501	18.817369	0.109959
376.8005	18.817369	0.110616
379.1985	18.817369	0.111301
381.598501	18.817369	0.111986
383.9875	19.360522	0.112918
386.386501	19.897143	0.113312
388.7745	19.897143	0.11343
391.170501	20.41059	0.113264
393.5665	20.819037	0.113392
395.9815	20.819037	0.114108
398.358501	20.819037	0.115852
400.755501	21.150555	0.117232
403.1515	21.533773	0.116881
405.551501	21.905872	0.116723
407.943501	22.149366	0.116905
410.3395	22.149366	0.117677
412.735501	22.352537	0.119124
415.131501	22.560978	0.119604
417.5275	22.707564	0.118615
419.9245	22.910735	0.118637
422.3205	23.233369	0.119899
424.716501	23.556343	0.121055
427.1125	24.240034	0.12011
429.508501	24.584458	0.119846
431.904501	24.928882	0.121073
434.301501	25.295583	0.123038
436.6985	26.073334	0.123076
439.0995	26.526509	0.122509
441.498501	26.979684	0.123355
443.8915	27.432859	0.125167
446.3005	28.446573	0.124757
448.6845	29.624735	0.124116
451.074501	30.227759	0.124947
453.4845	30.428181	0.126717
455.8695	30.726266	0.125584
458.262501	31.195592	0.125288
460.6625	31.628795	0.125397
463.054501	32.120571	0.127458
465.4515	32.655702	0.127465
467.847501	32.927548	0.126657
470.2435	33.199395	0.126281
472.640501	33.497024	0.126133
475.035501	33.798115	0.126594
477.4315	34.010506	0.127923
479.828501	34.33485	0.128697
482.2245	34.67451	0.128984
484.620501	34.850769	0.128452
487.0245	34.980245	0.128266
489.4125	35.163638	0.128576
491.808501	35.434762	0.129283
494.2045	35.816596	0.13008
496.601501	36.144808	0.131075
498.999501	36.381313	0.131918
501.3995	36.537594	0.132667
503.801501	36.990293	0.133188
506.2015	37.641781	0.132945
508.5995	38.207488	0.133228
510.978501	38.599628	0.133522
513.386501	39.088976	0.134255
515.772501	39.491298	0.135072
518.166501	39.788408	0.136058
520.5625	40.184758	0.136916
522.965501	40.584327	0.13717
525.3555	41.248584	0.137755
527.751501	41.774461	0.137613
530.1485	42.033738	0.137903
532.5435	42.517978	0.138652
534.939501	43.063954	0.140054
537.335501	43.652068	0.140414
539.732501	43.968879	0.141377
542.1285	44.15055	0.145083
544.5245	44.353562	0.14511
546.920501	44.72668	0.145517
549.3165	45.037536	0.145908
551.712501	45.323465	0.14577
554.108501	45.662519	0.145367
556.505501	46.074346	0.145114
558.9015	46.482955	0.145338
561.3125	46.650687	0.145707
563.6985	46.866886	0.145625
566.098501	47.393216	0.14555
568.498501	47.750644	0.145211
570.886501	48.08474	0.145332
573.3005	48.452357	0.145191
575.6855	48.919372	0.145681
578.0705	49.340805	0.145316
580.4845	49.822328	0.145415
582.8695	50.344693	0.145511
585.259501	50.906078	0.145705
587.6555	51.562462	0.146197
590.052501	52.186752	0.146198
592.4645	52.738411	0.14605
594.844501	53.242868	0.146011
597.2405	53.756841	0.146729
599.647501	54.370617	0.146683
602.0335	54.927776	0.147301
604.429501	55.453047	0.147478
606.825501	55.980359	0.143461
609.2215	56.242994	0.143327
611.617501	56.508749	0.147129
614.0145	56.675095	0.144946
616.416501	56.993986	0.14695
618.8065	57.588436	0.147452
621.202501	58.068434	0.147357
623.5995	58.352018	0.147509
625.998501	58.593539	0.147497
628.3995	58.877288	0.147542
630.8005	59.20646	0.147684
633.1985	59.495777	0.147589
635.587501	59.62985	0.147513
637.975501	60.138186	0.147604
640.409501	60.679369	0.147489
642.768501	61.083922	0.147643
645.1645	61.504704	0.147657
647.5605	62.054368	0.147556
649.956501	62.691449	0.147728
652.3695	63.089857	0.147574
654.749501	63.301156	0.147597
657.1485	63.626908	0.147632
659.541501	64.212671	0.147518
661.9375	64.813105	0.147649
664.3335	65.194651	0.147509
